data,ano_mes,numero_pedido,cliente,segmento,regiao,vendedor,produto,categoria,tipo_operacao,quantidade,desconto_pct,receita_total,custo_produto,custo_entrega,custo_comissao,frete_subsidiado,margem_contribuicao
2025-01-07,2025-01,50033,Trevo Comercio ME,Clinica,Regiao Metropolitana,Tarcisio Bueno,Cera Liquida Incolor 5L - Fardo 6,Quimicos,DEVOLUCAO,-2,1.12,-50.86,-43.96,21.43,-1.84,6.43,-26.49
2025-01-08,2025-01,50038,Xavante Servicos EIRELI,Padaria,Litoral,Rogerio Antunes,Sabao Liquido 5L,Quimicos,VENDA,5,3.25,246.85,168.4,20.65,7.41,20.65,50.39
2025-01-09,2025-01,50044,BOREAL SERVICOS LTDA ME,Escola,Regiao Metropolitana,Tarcisio Bueno,Copo Descartavel 50ml - Pacote 100,Descartaveis,VENDA,3,7.88,58.4,38.61,25.7,1.13,7.71,-7.04
2025-01-09,2025-01,50046,Oriente Negocios LTDA ME,Industria,Litoral,Rogerio Antunes,Saco Lixo 30L,Descartaveis,VENDA,2,6.64,50.99,35.1,19.64,1.12,5.89,-4.87
2025-01-20,2025-01,50094,Uniao Servicos LTDA,Industria,Interior Sul,Tarcisio Bueno,Balde 20L - Caixa 24,Acessorios,VENDA,1,1.45,21.88,8.16,11.78,0.38,3.53,1.56
2025-01-20,2025-01,50097,Imperial Servicos S/A,Clinica,Regiao Metropolitana,Rogerio Antunes,SACO LIXO 60L,Descartaveis,VENDA,3,14.37,22.11,19.5,4.45,0.57,1.33,-2.41
2025-01-21,2025-01,50105,Jangada Comercio ME,Padaria,Regiao Metropolitana,Simone Klein,REMOVEDOR 1L - CAIXA 24,Quimicos,VENDA,2,3.78,38.32,20.14,12.81,1.03,3.85,4.34
2025-01-22,2025-01,50114,Vitoria Comercio LTDA,Industria,Interior Sul,Simone Klein,Prato Descartavel 15cm,Descartaveis,VENDA,5,6.41,148.95,140.05,2.48,5.21,2.48,1.21
2025-01-23,2025-01,50119,Serrano Alimentos EIRELI,Padaria,Regiao Metropolitana,Simone Klein,Mop Umido - Caixa 24,Acessorios,VENDA,3,2.22,138.35,62.46,49.74,3.62,14.92,22.53
2025-01-23,2025-01,50123,Pampa Alimentos ME,Padaria,Regiao Metropolitana,Rogerio Antunes,saco lixo 30l - fardo 6,Descartaveis,VENDA,2,1.67,35.84,25.84,9.97,0.87,2.99,-0.84
2025-01-24,2025-01,50127,Querencia Distribuidora LTDA ME,Padaria,Interior Norte,Rogerio Antunes,SACO LIXO 60L,Descartaveis,VENDA,3,5.56,28.21,19.5,10.39,0.63,3.12,-2.31
2025-01-24,2025-01,50130,Nortao Industria LTDA,Industria,Interior Sul,Rogerio Antunes,Borrifador 500ml - Fardo 12,Acessorios,VENDA,5,0.77,111.0,61.05,11.93,3.08,3.58,34.94
2025-01-25,2025-01,50136,Imperial Distribuidora S/A,Clinica,Interior Norte,Rogerio Antunes,Limpa Vidros 500ml,Quimicos,VENDA,1,3.38,34.55,18.18,11.32,0.8,3.39,4.25
2025-01-29,2025-01,50149,Luminar Participacoes LTDA,Condominio,Litoral,Simone Klein,Balde 20L - Pacote 100,Acessorios,VENDA,50,11.54,1495.5,997.5,62.39,52.34,62.39,383.27
2025-01-30,2025-01,50153,Querencia Distribuidora LTDA ME,Padaria,Interior Norte,Rogerio Antunes,Cera Liquida Incolor 5L,Quimicos,VENDA,1,0.75,71.76,34.68,28.0,1.56,8.4,7.52
2025-01-30,2025-01,50157,BOREAL SERVICOS LTDA ME,Escola,Regiao Metropolitana,Tarcisio Bueno,Copo Descartavel 50ml,Descartaveis,VENDA,3,6.58,103.68,97.65,13.67,2.9,13.67,-10.54
2025-01-31,2025-01,50169,Estrela Servicos ME,Hotel,Interior Sul,Tarcisio Bueno,DESINFETANTE LAVANDA 5L - FARDO 6,Quimicos,VENDA,2,0.77,93.36,55.26,14.69,2.33,4.41,21.08
2025-01-31,2025-01,50170,Luminar Participacoes LTDA,Condominio,Litoral,Simone Klein,SACO LIXO 60L - PACOTE 100,Descartaveis,VENDA,10,3.33,146.5,133.3,9.38,5.13,9.38,-1.31
2025-02-01,2025-02,50172,Querencia Empreendimentos LTDA,Clinica,Interior Sul,Simone Klein,SACO LIXO 60L - PACOTE 100,Descartaveis,VENDA,1,4.63,21.31,13.33,9.8,0.51,2.94,-2.33
2025-02-01,2025-02,50173,Pampa Alimentos ME,Padaria,Regiao Metropolitana,Rogerio Antunes,Desengordurante 5L,Quimicos,VENDA,2,0.47,102.34,67.86,6.98,3.07,6.98,24.43
2025-02-03,2025-02,50175,BOREAL SERVICOS LTDA ME,Escola,Regiao Metropolitana,Tarcisio Bueno,Luva Plastica Descartavel - Fardo 12,Descartaveis,VENDA,2,11.61,72.82,72.5,7.93,2.04,7.93,-9.65
2025-02-03,2025-02,50180,BOREAL SERVICOS LTDA ME,Escola,Regiao Metropolitana,Tarcisio Bueno,Prato Descartavel 15cm - Caixa 24,Descartaveis,VENDA,3,7.75,114.06,92.49,24.42,2.71,7.32,-5.56
2025-02-03,2025-02,50181,Horizonte Industria S/A,Escola,Interior Norte,Rogerio Antunes,Copo Descartavel 200ml - Fardo 12,Descartaveis,VENDA,1,9.05,48.07,17.51,42.81,0.54,12.84,-12.79
2025-02-04,2025-02,50187,missoes empreendimentos me,Clinica,Regiao Metropolitana,Rogerio Antunes,Copo Descartavel 50ml - Fardo 6,Descartaveis,VENDA,2,9.5,54.4,52.9,1.99,1.63,1.99,-2.12
2025-02-04,2025-02,50187,missoes empreendimentos me,Clinica,Regiao Metropolitana,Rogerio Antunes,Cera Liquida Incolor 5L - Fardo 6,Quimicos,VENDA,5,2.19,175.8,118.65,6.42,5.27,6.42,45.46
2025-02-04,2025-02,50189,Jangada Comercio ME,Padaria,Regiao Metropolitana,Simone Klein,Bota PVC - Caixa 24,EPI,VENDA,1,2.42,8.2,4.26,2.15,0.23,0.65,1.56
2025-02-05,2025-02,50194,Boreal Negocios ME,Padaria,Interior Norte,Rogerio Antunes,Borrifador 500ml,Acessorios,VENDA,1,2.96,57.99,20.57,34.51,1.01,10.35,1.9
2025-02-06,2025-02,50205,Uniao Participacoes LTDA,Condominio,Litoral,Rogerio Antunes,Guardanapo 24x24 - Caixa 24,Papel,VENDA,1,4.78,72.21,45.97,16.3,1.82,4.89,8.12
2025-02-14,2025-02,50236,BOREAL SERVICOS LTDA ME,Escola,Regiao Metropolitana,Tarcisio Bueno,Escova Sanitaria - Caixa 24,Acessorios,VENDA,5,4.02,63.91,24.1,35.3,1.1,10.59,3.41
2025-02-14,2025-02,50238,BOREAL SERVICOS LTDA ME,Escola,Regiao Metropolitana,Tarcisio Bueno,Talher Descartavel Misto - Pacote 100,Descartaveis,VENDA,2,1.71,71.57,52.62,18.27,1.65,5.48,-0.97
2025-02-18,2025-02,50250,BOREAL SERVICOS LTDA ME,Escola,Regiao Metropolitana,Tarcisio Bueno,Alvejante 5L - Fardo 6,Quimicos,VENDA,1,6.45,25.36,15.79,4.25,0.63,1.27,4.69
2025-02-18,2025-02,50253,Xavante Negocios ME,Hotel,Regiao Metropolitana,Simone Klein,sabao liquido 5l - pacote 100,Quimicos,VENDA,3,2.81,116.18,68.7,21.46,3.54,6.44,22.48
2025-02-18,2025-02,50255,querencia negocios me,Restaurante,Litoral,Rogerio Antunes,Embalagem Delivery 750ml - Fardo 6,Descartaveis,VENDA,10,11.97,156.0,155.9,22.13,4.68,22.13,-26.71
2025-02-18,2025-02,50255,querencia negocios me,Restaurante,Litoral,Rogerio Antunes,Alcool 70 1L - Caixa 24,Quimicos,VENDA,2,3.96,36.22,24.9,5.14,1.09,5.14,5.09
2025-02-19,2025-02,50263,Boreal Negocios ME,Padaria,Interior Norte,Rogerio Antunes,Alcool 70 1L,Quimicos,VENDA,2,0.39,141.58,80.02,29.74,3.62,8.92,28.2
2025-02-19,2025-02,50267,BOREAL SERVICOS LTDA ME,Escola,Regiao Metropolitana,Tarcisio Bueno,Talher Descartavel Misto - Caixa 24,Descartaveis,VENDA,5,12.77,176.44,156.65,30.27,4.35,9.08,-14.83
2025-02-19,2025-02,50268,Oriente Participacoes LTDA,Clinica,Regiao Metropolitana,Simone Klein,Copo Descartavel 200ml - Pacote 100,Descartaveis,VENDA,2,4.46,79.51,57.8,23.93,2.2,7.18,-4.42
2025-02-20,2025-02,50277,Nortao Alimentos S/A,Escola,Interior Norte,Simone Klein,Papel Toalha Interfolha 1000f - Caixa 24,Papel,VENDA,2,0.51,149.65,100.1,16.18,4.84,4.85,28.53
2025-02-24,2025-02,50293,BOREAL SERVICOS LTDA ME,Escola,Regiao Metropolitana,Tarcisio Bueno,escova sanitaria,Acessorios,VENDA,3,5.25,152.92,78.54,38.29,3.53,11.49,32.56
2025-02-24,2025-02,50295,Vitoria Distribuidora LTDA ME,Hotel,Interior Sul,Tarcisio Bueno,Prato Descartavel 15cm - Caixa 24,Descartaveis,VENDA,1,9.74,39.21,30.83,10.85,0.89,3.26,-3.36
2025-02-25,2025-02,50302,UNIAO ALIMENTOS EIRELI,Industria,Litoral,Simone Klein,Papel Toalha Rolo 100f - Fardo 6,Papel,VENDA,1,0.45,113.89,64.98,34.35,3.14,10.3,11.42
2025-02-26,2025-02,50306,Serrano Servicos LTDA ME,Mercado,Interior Norte,Simone Klein,Papel Toalha Rolo 100f - Fardo 6,Papel,VENDA,1,4.77,100.28,64.98,20.46,3.01,6.13,11.83
2025-02-28,2025-02,50319,Horizonte Distribuidora S/A,Condominio,Regiao Metropolitana,Rogerio Antunes,Sabao Liquido 5L - Fardo 12,Quimicos,VENDA,1,3.63,15.2,10.41,0.96,0.46,0.96,3.37
2025-02-28,2025-02,50321,Trevo Empreendimentos LTDA,Padaria,Interior Norte,Rogerio Antunes,Desengordurante 5L - Pacote 100,Quimicos,VENDA,5,2.91,111.03,61.85,28.69,2.73,8.61,17.76
2025-03-01,2025-03,50323,BANDEIRANTE NEGOCIOS S/A,Condominio,Interior Sul,Simone Klein,Alcool 70 1L,Quimicos,DEVOLUCAO,-2,2.24,-94.45,-80.02,34.38,-4.15,10.31,-44.66
2025-03-01,2025-03,50324,Imperial Servicos S/A,Clinica,Regiao Metropolitana,Rogerio Antunes,Papel Higienico Folha Dupla 30m - Fardo 12,Papel,VENDA,50,3.51,3381.0,2523.0,78.65,101.43,78.65,677.92
2025-03-03,2025-03,50330,Vitoria Distribuidora LTDA ME,Hotel,Interior Sul,Tarcisio Bueno,luva plastica descartavel - pacote 100,Descartaveis,VENDA,2,3.91,75.89,38.92,47.7,1.19,14.31,-11.92
2025-03-03,2025-03,50331,Imperial Servicos S/A,Clinica,Regiao Metropolitana,Rogerio Antunes,Guardanapo 24x24 - Fardo 12,Papel,VENDA,3,3.04,248.67,149.04,68.53,6.02,20.56,25.08
2025-03-04,2025-03,50334,Bandeirante Comercio ME,Condominio,Litoral,Rogerio Antunes,sabao liquido 5l - pacote 100,Quimicos,VENDA,1,0.13,34.65,22.9,3.48,1.04,3.48,7.23
2025-03-04,2025-03,50340,Serrano Servicos LTDA ME,Mercado,Interior Norte,Simone Klein,Limpador Multiuso 5L - Fardo 6,Quimicos,VENDA,2,3.3,99.36,67.82,7.89,3.48,7.89,20.17
2025-03-05,2025-03,50346,Estrela Servicos LTDA,Escola,Litoral,Tarcisio Bueno,Vassoura Nylon - Pacote 100,Acessorios,VENDA,5,2.48,136.04,75.8,15.42,3.51,4.63,41.31
2025-03-05,2025-03,50349,BOREAL SERVICOS LTDA ME,Escola,Regiao Metropolitana,Tarcisio Bueno,escova sanitaria,Acessorios,VENDA,2,1.42,104.28,52.36,24.0,2.45,7.2,25.47
2025-03-06,2025-03,50359,Vitoria Empreendimentos EIRELI,Restaurante,Litoral,Tarcisio Bueno,BOBINA PAPEL TOALHA 200M - PACOTE 100,Papel,VENDA,2,4.84,68.39,43.7,15.18,1.62,4.55,7.89
2025-03-07,2025-03,50367,BOREAL SERVICOS LTDA ME,Escola,Regiao Metropolitana,Tarcisio Bueno,PAPEL HIGIENICO ROLAO 300M,Papel,VENDA,5,8.64,79.55,62.7,4.44,2.23,4.44,10.18
2025-03-07,2025-03,50368,Boreal Negocios ME,Padaria,Interior Norte,Rogerio Antunes,Saco Lixo 100L - Fardo 6,Descartaveis,VENDA,1,5.64,31.63,24.69,7.36,0.79,2.21,-1.21
2025-03-08,2025-03,50377,Central Negocios ME,Mercado,Interior Sul,Tarcisio Bueno,Papel Higienico Folha Dupla 30m - Fardo 12,Papel,VENDA,3,4.63,81.06,55.44,10.89,2.06,3.27,12.67
2025-03-08,2025-03,50377,Central Negocios ME,Mercado,Interior Sul,Tarcisio Bueno,DESINFETANTE LAVANDA 5L - PACOTE 100,Quimicos,VENDA,3,1.48,203.11,123.27,27.28,5.15,8.19,47.41
2025-03-10,2025-03,50380,Xavante Servicos EIRELI,Padaria,Litoral,Rogerio Antunes,papel toalha rolo 100f,Papel,VENDA,5,7.8,236.7,184.85,26.32,7.1,26.32,18.43
2025-03-10,2025-03,50382,Luminar Alimentos S/A,Restaurante,Interior Sul,Rogerio Antunes,LUVA PLASTICA DESCARTAVEL,Descartaveis,VENDA,5,15.94,176.68,161.1,32.62,4.62,9.79,-21.66
2025-03-10,2025-03,50385,Jangada Empreendimentos ME,Condominio,Litoral,Rogerio Antunes,Guardanapo 24x24 - Fardo 12,Papel,VENDA,2,2.35,134.76,99.36,11.73,4.04,11.73,19.63
2025-03-11,2025-03,50391,Luminar Alimentos S/A,Restaurante,Interior Sul,Rogerio Antunes,BORRIFADOR 500ML - FARDO 12,Acessorios,VENDA,5,1.48,239.8,143.6,21.12,7.19,21.12,67.89
2025-03-11,2025-03,50391,Luminar Alimentos S/A,Restaurante,Interior Sul,Rogerio Antunes,Embalagem Delivery 750ml,Descartaveis,VENDA,5,7.91,125.7,120.1,11.07,3.77,11.07,-9.24
2025-03-11,2025-03,50392,Vitoria Distribuidora LTDA ME,Hotel,Interior Sul,Tarcisio Bueno,Copo Descartavel 200ml - Fardo 12,Descartaveis,VENDA,3,1.6,74.07,52.53,21.91,1.64,6.58,-2.01
2025-03-11,2025-03,50392,Vitoria Distribuidora LTDA ME,Hotel,Interior Sul,Tarcisio Bueno,Copo Descartavel 50ml - Pacote 100,Descartaveis,VENDA,1,5.67,17.39,12.87,5.14,0.39,1.54,-1.01
2025-03-11,2025-03,50396,Querencia Empreendimentos LTDA,Clinica,Interior Sul,Simone Klein,Bota PVC,EPI,VENDA,3,1.24,65.1,40.86,6.06,2.28,6.06,15.9
2025-03-11,2025-03,50396,Querencia Empreendimentos LTDA,Clinica,Interior Sul,Simone Klein,Luva Latex - Fardo 12,EPI,VENDA,1,2.02,9.67,6.12,0.9,0.34,0.9,2.31
2025-03-12,2025-03,50412,Uniao Servicos LTDA,Industria,Interior Sul,Tarcisio Bueno,borrifador 500ml - fardo 6,Acessorios,VENDA,1,3.53,30.61,18.72,2.84,0.86,2.84,8.19
2025-03-13,2025-03,50414,Zenite Participacoes ME,Padaria,Interior Norte,Simone Klein,BOBINA PAPEL TOALHA 200M - PACOTE 100,Papel,VENDA,1,2.83,29.49,21.85,1.25,1.03,1.25,5.36
2025-03-13,2025-03,50414,Zenite Participacoes ME,Padaria,Interior Norte,Simone Klein,Marmitex Aluminio 800ml - Pacote 100,Descartaveis,VENDA,2,4.88,59.94,55.46,2.54,2.1,2.54,-0.16
2025-03-13,2025-03,50424,Serrano Servicos LTDA ME,Mercado,Interior Norte,Simone Klein,Prato Descartavel 15cm - Caixa 24,Descartaveis,VENDA,1,6.29,37.27,30.83,6.34,1.15,1.9,-1.05
2025-03-13,2025-03,50424,Serrano Servicos LTDA ME,Mercado,Interior Norte,Simone Klein,Pano Multiuso - Fardo 6,Acessorios,VENDA,1,2.71,7.87,4.2,1.34,0.24,0.4,2.09
2025-03-14,2025-03,50433,Luminar Alimentos S/A,Restaurante,Interior Sul,Rogerio Antunes,Papel Toalha Interfolha 1000f - Caixa 24,Papel,VENDA,1,7.3,48.65,34.31,6.4,1.33,1.92,6.61
2025-03-14,2025-03,50433,Luminar Alimentos S/A,Restaurante,Interior Sul,Rogerio Antunes,Saco Lixo 30L - Fardo 6,Descartaveis,VENDA,2,9.12,58.0,50.98,7.63,1.58,2.29,-2.19
2025-03-14,2025-03,50434,Querencia Participacoes EIRELI,Mercado,Regiao Metropolitana,Tarcisio Bueno,Embalagem Delivery 750ml,Descartaveis,VENDA,3,3.42,79.11,72.06,2.23,2.22,2.23,2.6
2025-03-14,2025-03,50436,Vitoria Distribuidora LTDA ME,Hotel,Interior Sul,Tarcisio Bueno,Talher Descartavel Misto - Caixa 24,Descartaveis,VENDA,20,13.23,617.8,626.6,41.19,17.3,41.19,-67.29
2025-03-19,2025-03,50463,BOREAL SERVICOS LTDA ME,Escola,Regiao Metropolitana,Tarcisio Bueno,Limpador Multiuso 5L - Fardo 6,Quimicos,VENDA,3,3.26,169.5,101.73,29.11,4.18,8.74,34.48
2025-03-20,2025-03,50474,Estrela Servicos ME,Hotel,Interior Sul,Tarcisio Bueno,Saco Lixo 30L - Fardo 6,Descartaveis,VENDA,2,1.77,56.92,50.98,3.99,1.59,3.99,0.36
2025-03-20,2025-03,50474,Estrela Servicos ME,Hotel,Interior Sul,Tarcisio Bueno,mop umido - fardo 6,Acessorios,VENDA,20,7.12,637.0,404.6,44.7,17.84,44.7,169.86
2025-03-20,2025-03,50475,Querencia Negocios LTDA,Industria,Interior Norte,Simone Klein,Alvejante 5L - Caixa 24,Quimicos,VENDA,2,1.21,135.61,75.6,32.07,3.96,9.62,23.98
2025-03-20,2025-03,50477,Luminar Alimentos S/A,Restaurante,Interior Sul,Rogerio Antunes,Limpa Vidros 500ml,Quimicos,VENDA,2,4.28,62.62,36.36,14.11,1.58,4.23,10.57
2025-03-21,2025-03,50480,Pampa Alimentos ME,Padaria,Regiao Metropolitana,Rogerio Antunes,papel higienico folha dupla 30m - fardo 12,Papel,VENDA,2,6.5,146.67,102.08,20.16,3.98,6.05,20.45
2025-03-21,2025-03,50486,Serrano Servicos LTDA ME,Mercado,Interior Norte,Simone Klein,Prato Descartavel 15cm,Descartaveis,VENDA,1,0.54,31.66,28.01,2.83,1.11,2.83,-0.29
2025-03-22,2025-03,50493,Uniao Servicos LTDA,Industria,Interior Sul,Tarcisio Bueno,Saco Lixo 100L - Fardo 6,Descartaveis,VENDA,20,16.33,469.6,493.8,32.62,13.15,32.62,-69.97
2025-03-22,2025-03,50495,missoes empreendimentos me,Clinica,Regiao Metropolitana,Rogerio Antunes,Prato Descartavel 15cm,Descartaveis,VENDA,5,0.72,178.86,140.05,29.8,4.74,8.94,4.27
2025-03-22,2025-03,50496,Querencia Participacoes EIRELI,Mercado,Regiao Metropolitana,Tarcisio Bueno,Marmitex Aluminio 800ml - Pacote 100,Descartaveis,VENDA,10,20.04,252.0,277.3,20.61,7.06,20.61,-52.97
2025-03-24,2025-03,50499,XAVANTE EMPREENDIMENTOS LTDA ME,Mercado,Interior Norte,Simone Klein,Marmitex Aluminio 800ml,Descartaveis,VENDA,1,7.55,11.26,8.79,2.88,0.32,0.86,-0.73
2025-03-24,2025-03,50500,Boreal Industria LTDA,Hotel,Litoral,Tarcisio Bueno,Alvejante 5L - Fardo 12,Quimicos,VENDA,3,2.35,89.0,51.03,19.31,2.11,5.79,16.55
2025-03-25,2025-03,50503,Oriente Participacoes LTDA,Clinica,Regiao Metropolitana,Simone Klein,Rodo 40cm - Pacote 100,Acessorios,VENDA,2,3.29,108.72,55.7,24.88,3.2,7.46,24.94
2025-03-25,2025-03,50507,Aurora Industria LTDA,Clinica,Regiao Metropolitana,Tarcisio Bueno,Talher Descartavel Misto - Fardo 6,Descartaveis,VENDA,2,5.36,98.7,72.58,29.48,2.19,8.84,-5.55
2025-03-26,2025-03,50513,Querencia Participacoes EIRELI,Mercado,Regiao Metropolitana,Tarcisio Bueno,Marmitex Aluminio 800ml,Descartaveis,VENDA,1,10.72,10.7,8.79,2.55,0.25,0.77,-0.89
2025-03-27,2025-03,50531,Vitoria Distribuidora LTDA ME,Hotel,Interior Sul,Tarcisio Bueno,Balde 20L - Pacote 100,Acessorios,VENDA,3,3.12,98.28,59.85,9.1,2.75,9.1,26.58
2025-03-28,2025-03,50538,BOREAL SERVICOS LTDA ME,Escola,Regiao Metropolitana,Tarcisio Bueno,Limpa Vidros 500ml - Fardo 12,Quimicos,VENDA,10,9.02,458.2,332.4,11.2,12.83,11.2,101.77
2025-03-31,2025-03,50547,Aurora Negocios EIRELI,Hotel,Regiao Metropolitana,Rogerio Antunes,papel toalha rolo 100f,Papel,VENDA,3,1.08,186.5,110.91,48.71,4.57,14.61,22.31
2025-04-01,2025-04,50555,Serrano Servicos LTDA ME,Mercado,Interior Norte,Simone Klein,Avental PVC - Fardo 6,EPI,VENDA,5,1.63,39.93,22.55,5.97,1.25,1.79,10.16
2025-04-01,2025-04,50557,Trevo Comercio LTDA,Restaurante,Interior Norte,Simone Klein,Prato Descartavel 15cm - Caixa 24,Descartaveis,VENDA,1,3.62,51.05,19.37,42.63,0.74,12.79,-11.69
2025-04-02,2025-04,50560,Boreal Negocios ME,Padaria,Interior Norte,Rogerio Antunes,PAPEL HIGIENICO ROLAO 300M,Papel,VENDA,50,10.03,783.5,627.0,45.93,23.51,45.93,87.07
2025-04-02,2025-04,50564,Serrano Servicos LTDA ME,Mercado,Interior Norte,Simone Klein,Embalagem Delivery 750ml - Fardo 6,Descartaveis,VENDA,3,9.13,98.67,95.55,9.41,3.45,9.41,-9.74
2025-04-03,2025-04,50568,Boreal Negocios ME,Padaria,Interior Norte,Rogerio Antunes,Copo Descartavel 50ml - Pacote 100,Descartaveis,VENDA,1,3.79,22.9,12.87,12.61,0.42,3.78,-3.0
2025-04-04,2025-04,50576,Central Negocios LTDA ME,Clinica,Interior Sul,Simone Klein,Limpador Multiuso 5L,Quimicos,VENDA,1,1.66,43.7,29.33,6.24,1.53,6.24,6.6
2025-04-07,2025-04,50581,Luminar Distribuidora EIRELI,Clinica,Litoral,Rogerio Antunes,Marmitex Aluminio 800ml - Pacote 100,Descartaveis,VENDA,20,2.66,613.4,554.6,44.73,18.4,44.73,-4.33
2025-04-07,2025-04,50582,Horizonte Distribuidora S/A,Condominio,Regiao Metropolitana,Rogerio Antunes,papel toalha rolo 100f,Papel,VENDA,10,1.63,505.1,369.7,67.54,15.15,67.54,52.71
2025-04-07,2025-04,50587,querencia negocios me,Restaurante,Litoral,Rogerio Antunes,Detergente Neutro 5L - Pacote 100,Quimicos,VENDA,5,1.98,137.05,73.8,39.22,3.29,11.77,20.74
2025-04-08,2025-04,50595,Serrano Servicos LTDA ME,Mercado,Interior Norte,Simone Klein,limpador multiuso 5l - pacote 100,Quimicos,VENDA,1,1.63,42.78,11.79,36.02,0.61,10.81,-5.64
2025-04-08,2025-04,50596,horizonte distribuidora me,Condominio,Regiao Metropolitana,Rogerio Antunes,SACO LIXO 60L - PACOTE 100,Descartaveis,VENDA,2,1.49,34.32,26.66,6.4,0.9,1.92,0.36
2025-04-09,2025-04,50600,Xavante Servicos EIRELI,Padaria,Litoral,Rogerio Antunes,Desinfetante Lavanda 5L - Pacote 100,Quimicos,VENDA,3,5.54,160.86,112.38,19.87,4.83,19.87,23.78
2025-04-09,2025-04,50600,Xavante Servicos EIRELI,Padaria,Litoral,Rogerio Antunes,Guardanapo 24x24 - Fardo 12,Papel,VENDA,3,5.84,194.91,149.04,24.08,5.85,24.08,15.94
2025-04-09,2025-04,50601,Xavante Negocios ME,Hotel,Regiao Metropolitana,Simone Klein,Desengordurante 5L - Pacote 100,Quimicos,VENDA,2,3.14,36.3,24.74,2.33,1.27,2.33,7.96
2025-04-15,2025-04,50625,Zenite Industria LTDA,Mercado,Litoral,Simone Klein,Embalagem Delivery 750ml - Fardo 6,Descartaveis,VENDA,1,3.68,19.0,15.59,2.76,0.6,0.83,0.05
2025-04-16,2025-04,50637,Vitoria Distribuidora LTDA ME,Hotel,Interior Sul,Tarcisio Bueno,Luva Latex - Fardo 12,EPI,VENDA,10,1.88,109.56,61.2,18.22,2.71,5.46,27.43
2025-04-17,2025-04,50640,Aurora Negocios EIRELI,Hotel,Regiao Metropolitana,Rogerio Antunes,Papel Toalha Rolo 100f - Pacote 100,Papel,VENDA,3,0.04,228.63,164.67,10.11,6.86,10.11,46.99
2025-04-17,2025-04,50647,Serrano Servicos LTDA ME,Mercado,Interior Norte,Simone Klein,Detergente Neutro 5L - Caixa 24,Quimicos,VENDA,2,3.93,104.84,63.48,17.77,3.23,5.33,20.36
2025-04-18,2025-04,50651,BOREAL SERVICOS LTDA ME,Escola,Regiao Metropolitana,Tarcisio Bueno,Sabao Liquido 5L - Fardo 12,Quimicos,VENDA,1,3.61,19.55,10.41,6.22,0.43,1.87,2.49
2025-04-22,2025-04,50665,Serrano Servicos LTDA ME,Mercado,Interior Norte,Simone Klein,SACO LIXO 60L - CAIXA 24,Descartaveis,VENDA,2,2.05,25.36,20.02,4.37,0.78,1.31,0.19
2025-04-23,2025-04,50674,Guarani Servicos S/A,Restaurante,Regiao Metropolitana,Simone Klein,Prato Descartavel 15cm,Descartaveis,VENDA,3,11.79,84.24,84.03,5.97,2.95,5.97,-8.71
